City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Alfred,ZA,61.54,few clouds,-33.5906,26.891,The Halyards Hotel
1,Hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
4,Tarata,BO,85.42,scattered clouds,-17.6167,-66.0167,Hacienda castillo
5,Arraial Do Cabo,BR,67.96,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
7,Punta Arenas,CL,53.71,few clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
8,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
9,Sarandi,BR,65.17,overcast clouds,-23.4436,-51.8739,HOTEL GRALHA AZUL (GAPH) - Maringá
10,Ponta Do Sol,PT,76.01,few clouds,32.6667,-17.1,Hotel do Campo
11,Hermanus,ZA,65.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Port Elizabeth,ZA,61.11,clear sky,-33.918,25.5701,39 On Nile Guest House
13,Bredasdorp,ZA,63.28,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
14,Rikitea,PF,74.64,light rain,-23.1203,-134.9692,People ThankYou
15,Cabo San Lucas,MX,93.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
16,Ushuaia,AR,51.46,few clouds,-54.8,-68.3,Albatros Hotel
17,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
21,Victoria,HK,81.32,light rain,22.2855,114.1577,Mini Hotel Central
22,Kudahuvadhoo,MV,83.32,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
23,Saint George,US,68.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
24,Maxixe,MZ,68.74,overcast clouds,-23.8597,35.3472,Oceano
25,Sao Joao Da Barra,BR,69.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
26,North Bend,US,58.91,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
28,Buala,SB,78.87,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
29,Huambo,AO,74.12,overcast clouds,-12.7761,15.7392,SiSHotel
30,Kruisfontein,ZA,58.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
31,Biltine,TD,92.97,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
32,Atuona,PF,77.81,clear sky,-9.8,-139.0333,Villa Enata
35,Poum,NC,73.08,clear sky,-20.2333,164.0167,Gîte kajeon
36,Mataura,NZ,51.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
38,Cape Town,ZA,66.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
39,Vao,NC,69.75,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
41,Calvinia,ZA,67.91,broken clouds,-31.4707,19.776,Die Lemoenhuis
42,Guaruja,BR,74.8,moderate rain,-23.9931,-46.2564,Charme Hotel Guarujá
46,Kahului,US,77.02,light rain,20.8947,-156.47,Maui Seaside Hotel
47,Margate,GB,58.96,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
49,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
51,Roald,NO,53.17,moderate rain,62.5833,6.1333,Flem Cabins
52,Hudiksvall,SE,52.72,overcast clouds,61.729,17.1036,Best Western Hotell Hudik
53,Carballo,ES,69.01,few clouds,43.213,-8.691,Pazo do Souto
54,Plettenberg Bay,ZA,59.85,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
56,San Patricio,US,92.12,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
57,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Rio Gallegos,AR,53.65,light intensity shower rain,-51.6226,-69.2181,Hotel Santa Cruz
60,Pyaozerskiy,RU,51.82,overcast clouds,65.8333,31.1667,Taratuga
