City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,61.54,64,12,20.69,few clouds
1,Hilo,US,19.7297,-155.09,76.28,92,90,5.75,light rain
2,Aklavik,CA,68.2191,-135.0107,28.47,83,100,9.93,overcast clouds
3,College,US,64.8569,-147.8028,35.26,94,75,6.91,fog
4,Tarata,BO,-17.6167,-66.0167,85.42,29,46,9.13,scattered clouds
5,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,94,90,12.66,light intensity drizzle
6,Yellowknife,CA,62.456,-114.3525,38.41,99,100,13.0,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,53.71,35,20,31.07,few clouds
8,Ribeira Grande,PT,38.5167,-28.7,72.0,94,75,12.66,broken clouds
9,Sarandi,BR,-23.4436,-51.8739,65.17,83,100,11.52,overcast clouds
10,Ponta Do Sol,PT,32.6667,-17.1,76.01,70,16,3.85,few clouds
11,Hermanus,ZA,-34.4187,19.2345,65.89,66,89,7.76,overcast clouds
12,Port Elizabeth,ZA,-33.918,25.5701,61.11,68,1,18.28,clear sky
13,Bredasdorp,ZA,-34.5322,20.0403,63.28,77,70,13.8,broken clouds
14,Rikitea,PF,-23.1203,-134.9692,74.64,81,100,18.86,light rain
15,Cabo San Lucas,MX,22.8909,-109.9124,93.61,48,20,4.61,few clouds
16,Ushuaia,AR,-54.8,-68.3,51.46,32,20,29.93,few clouds
17,Padang,ID,-0.9492,100.3543,77.05,90,100,2.89,overcast clouds
18,Thompson,CA,55.7435,-97.8558,44.76,93,90,6.91,mist
19,Albany,US,42.6001,-73.9662,66.85,75,88,1.01,overcast clouds
20,Saskylakh,RU,71.9167,114.0833,12.76,96,100,6.8,overcast clouds
21,Victoria,HK,22.2855,114.1577,81.32,90,100,8.01,light rain
22,Kudahuvadhoo,MV,2.6708,72.8944,83.32,74,71,13.65,broken clouds
23,Saint George,US,37.1041,-113.5841,68.63,37,1,3.0,clear sky
24,Maxixe,MZ,-23.8597,35.3472,68.74,62,97,16.33,overcast clouds
25,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,89,100,13.38,overcast clouds
26,North Bend,US,43.4065,-124.2243,58.91,84,75,9.22,broken clouds
27,Ikongo,MG,-21.8833,47.4333,66.99,83,21,2.84,few clouds
28,Buala,SB,-8.145,159.5921,78.87,84,79,3.91,broken clouds
29,Huambo,AO,-12.7761,15.7392,74.12,40,96,3.29,overcast clouds
30,Kruisfontein,ZA,-34.0033,24.7314,58.89,71,4,13.87,clear sky
31,Biltine,TD,14.5333,20.9167,92.97,14,46,3.74,scattered clouds
32,Atuona,PF,-9.8,-139.0333,77.81,76,5,18.37,clear sky
33,Upernavik,GL,72.7868,-56.1549,32.38,99,100,10.8,snow
34,Barrow,US,71.2906,-156.7887,28.42,80,90,10.36,overcast clouds
35,Poum,NC,-20.2333,164.0167,73.08,63,3,21.03,clear sky
36,Mataura,NZ,-46.1927,168.8643,51.48,87,100,2.33,overcast clouds
37,Iqaluit,CA,63.7506,-68.5145,40.73,70,20,5.01,few clouds
38,Cape Town,ZA,-33.9258,18.4232,66.11,64,0,4.61,clear sky
39,Vao,NC,-22.6667,167.4833,69.75,63,2,16.89,clear sky
40,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,90,8.05,overcast clouds
41,Calvinia,ZA,-31.4707,19.776,67.91,8,70,5.7,broken clouds
42,Guaruja,BR,-23.9931,-46.2564,74.8,54,90,1.01,moderate rain
43,Port Lincoln,AU,-34.7333,135.8667,49.98,60,58,9.19,broken clouds
44,Deputatskiy,RU,69.3,139.9,19.27,85,100,3.47,overcast clouds
45,Tiksi,RU,71.6872,128.8694,27.52,91,100,4.18,overcast clouds
46,Kahului,US,20.8947,-156.47,77.02,84,40,8.05,light rain
47,Margate,GB,51.3813,1.3862,58.96,80,82,4.0,broken clouds
48,Ostrovnoy,RU,68.0531,39.5131,42.67,95,100,3.83,overcast clouds
49,Bambous Virieux,MU,-20.3428,57.7575,71.85,94,75,8.05,light rain
50,Hobart,AU,-42.8794,147.3294,42.26,80,28,1.99,scattered clouds
51,Roald,NO,62.5833,6.1333,53.17,93,75,14.97,moderate rain
52,Hudiksvall,SE,61.729,17.1036,52.72,79,100,12.12,overcast clouds
53,Carballo,ES,43.213,-8.691,69.01,69,21,10.04,few clouds
54,Plettenberg Bay,ZA,-34.0527,23.3716,59.85,77,30,8.55,scattered clouds
55,Tahe,CN,52.3333,124.7333,30.6,87,13,6.35,few clouds
56,San Patricio,US,28.017,-97.5169,92.12,54,16,21.05,few clouds
57,Kapaa,US,22.0752,-159.319,78.78,72,75,4.0,light rain
58,Yerbogachen,RU,61.2767,108.0108,31.19,84,95,12.97,overcast clouds
59,Rio Gallegos,AR,-51.6226,-69.2181,53.65,43,40,12.66,light intensity shower rain
60,Pyaozerskiy,RU,65.8333,31.1667,51.82,97,100,8.05,overcast clouds
61,Satana,IN,20.5833,74.2,75.9,75,55,2.73,light rain
62,Muli,MV,2.9167,73.5667,83.17,75,54,14.43,broken clouds
63,Yanam,IN,16.7333,82.2167,79.05,84,48,0.74,scattered clouds
64,Labuhan,ID,-6.8844,112.2051,78.42,76,76,10.56,broken clouds
65,Guabito,PA,9.5,-82.6167,85.89,63,10,7.25,clear sky
66,Morros,BR,-9.4467,-46.3003,103.26,13,82,7.61,broken clouds
67,Mount Gambier,AU,-37.8333,140.7667,47.7,58,88,5.61,overcast clouds
68,Te Anau,NZ,-45.4167,167.7167,45.05,96,100,5.28,moderate rain
69,Chuy,UY,-33.6971,-53.4616,62.83,72,75,15.48,broken clouds
70,Haines Junction,CA,60.7522,-137.5108,30.15,86,73,2.3,broken clouds
71,New Norfolk,AU,-42.7826,147.0587,41.92,71,72,2.86,broken clouds
72,Ewa Beach,US,21.3156,-158.0072,76.98,75,75,17.0,broken clouds
73,Kissamos,GR,35.4939,23.6569,72.91,76,15,6.89,few clouds
74,Beringovskiy,RU,63.05,179.3167,30.43,82,100,11.92,overcast clouds
75,Avarua,CK,-21.2078,-159.775,69.85,94,99,1.14,overcast clouds
76,Kalakamati,BW,-20.5929,27.3121,57.69,79,40,25.55,scattered clouds
77,Progreso,MX,21.2833,-89.6667,93.31,62,80,9.19,broken clouds
78,Vaini,TO,-21.2,-175.2,71.76,94,75,5.75,light intensity shower rain
79,Klaksvik,FO,62.2266,-6.589,43.72,79,86,23.35,overcast clouds
80,Yumen,CN,40.2833,97.2,40.1,20,0,13.38,clear sky
81,West Bay,KY,19.3667,-81.4167,87.87,76,20,5.01,few clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,78.76,82,89,8.01,overcast clouds
83,Evensk,RU,61.95,159.2333,26.29,67,60,6.17,broken clouds
84,Garowe,SO,8.4054,48.4845,83.32,55,97,6.33,light rain
85,Nikolskoye,RU,59.7035,30.7861,54.88,66,38,8.88,scattered clouds
86,Tommot,RU,58.9564,126.2925,33.98,81,94,12.21,overcast clouds
87,Sorland,NO,67.667,12.6934,48.06,81,100,5.79,overcast clouds
88,Bilma,NE,18.6853,12.9164,89.06,9,81,8.25,broken clouds
89,Kodiak,US,57.79,-152.4072,44.11,53,1,3.44,clear sky
90,Punta Alta,AR,-38.8759,-62.0736,70.74,41,0,3.71,clear sky
91,Vila Velha,BR,-20.3297,-40.2925,64.94,91,100,7.11,moderate rain
92,Ancud,CL,-41.8697,-73.8203,56.43,73,89,8.77,overcast clouds
93,Riyadh,SA,24.6877,46.7219,86.14,15,0,9.19,clear sky
94,Coihaique,CL,-45.5752,-72.0662,56.01,58,75,4.61,broken clouds
95,Kaitangata,NZ,-46.2817,169.8464,48.6,82,99,3.49,overcast clouds
96,East London,ZA,-33.0153,27.9116,62.06,64,2,14.25,clear sky
97,Saldanha,ZA,-33.0117,17.9442,60.69,67,87,10.83,overcast clouds
98,Pecos,US,31.4229,-103.4932,90.05,21,1,28.77,clear sky
99,Viedma,AR,-40.8135,-62.9967,80.06,18,0,13.89,clear sky
